amplitude_recall,amplitude_recall_ci_high,amplitude_recall_ci_low,amplitude_to_phase_confusion,amplitude_to_phase_confusion_ci_high,amplitude_to_phase_confusion_ci_low,auroc,auroc_ci_high,auroc_ci_low,balanced_accuracy,balanced_accuracy_ci_high,balanced_accuracy_ci_low,brier,brier_ci_high,brier_ci_low,ece,ece_ci_high,ece_ci_low,macro_f1,macro_f1_ci_high,macro_f1_ci_low,model,phase_recall,phase_recall_ci_high,phase_recall_ci_low,phase_to_amplitude_confusion,phase_to_amplitude_confusion_ci_high,phase_to_amplitude_confusion_ci_low,regime,shuffle_empirical_p
0.95,0.9891304347826086,0.8947213622291021,0.050000000000000044,0.10527863777089774,0.010869565217391353,0.5678124999999999,0.6645394274675096,0.47674199041324494,0.5,0.5343493770593457,0.466725462037962,0.2479210140057931,0.2524898226624562,0.24278667233350487,0.02396824297059039,0.10683207401488932,0.00606286944302826,0.3730407523510972,0.4388380096832526,0.31828294009676983,linear,0.05,0.10810810810810811,0.011111111111111112,0.95,0.9888888888888889,0.8918918918918919,B_absolute,0.5714285714285714
1.0,1.0,1.0,0.0,0.0,0.0,0.511640625,0.5330788180151449,0.49239820449252497,0.5,0.5,0.5,0.25004482014126206,0.2510923704132189,0.24904553955632772,0.006694784555065558,0.09043452498483183,0.0007672645478562307,0.3333333333333333,0.36493068720379146,0.2966482428642138,nonlinear,0.0,0.0,0.0,1.0,1.0,1.0,B_absolute,0.6190476190476191
0.4625,0.5972222222222222,0.3235180995475113,0.5375,0.6764819004524887,0.4027777777777778,0.85265625,0.9130939759948505,0.765580401181188,0.70625,0.7787126235357267,0.6295574602679122,0.1970247533349166,0.2561325649732763,0.15042325830205486,0.20054918974361846,0.27849833484741887,0.15344882921176473,0.6876946717056356,0.7722285392217045,0.5883911638838324,linear,0.95,0.9892501715854496,0.8918837512211006,0.050000000000000044,0.10811624877889935,0.010749828414550435,B_delta,0.047619047619047616
0.5625,0.6931818181818182,0.4025934431422237,0.4375,0.5974065568577763,0.30681818181818177,0.84328125,0.9076299611542751,0.746938029922636,0.7125,0.7895810630922643,0.6136282797487066,0.188931506734121,0.23922636036343592,0.15019739733684964,0.14923660012784806,0.22337825925717888,0.10523813055509129,0.7058823529411764,0.7889672441785851,0.5981980992144152,nonlinear,0.8625,0.9387817322050772,0.7692073170731708,0.13749999999999996,0.23079268292682908,0.06121826779492281,B_delta,0.047619047619047616
0.325,0.45121951219512196,0.1864406779661017,0.675,0.8135593220338984,0.5487804878048781,0.86203125,0.9204358234699339,0.7748563314900337,0.65,0.7156619660966762,0.5757485569985571,0.22393890249484832,0.28892479082120825,0.17513296464411346,0.25231267611331937,0.32878536152202176,0.1992354013587317,0.6086652690426275,0.6965471194676603,0.4998851776699221,linear,0.975,1.0,0.930531103286385,0.025000000000000022,0.06946889671361486,0.0,C_summary,0.047619047619047616
0.575,0.6931856060606061,0.4444444444444444,0.42500000000000004,0.5555555555555556,0.3068143939393939,0.8540625000000001,0.9143262210834827,0.7678558709808709,0.73125,0.8044429034183135,0.6466158955565736,0.1871083047823055,0.23600158063719262,0.1482498361867872,0.16258228064714828,0.23469342922548267,0.10855923561957977,0.7245245245245245,0.8017091865081815,0.6263758301795318,nonlinear,0.8875,0.9500123762376237,0.8,0.11250000000000004,0.19999999999999996,0.04998762376237628,C_summary,0.047619047619047616
